participant_code,batch_id,condition,trial_index,condition_repetition,n,requested_n,components,duration_s,accuracy,wpm,cpm,attempted_chars,attempted_letters,correct_chars,correct_letters,total_chars,edit_distance,aligned_target_chars,msd_error_rate,scoring_method,first_key_latency_ms,text_storage_status
P103,sep10_12,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,14.4,72.0,24,21,24,21,220,0,24,0.0,msd_target_prefix_v1,383.39999999990687,direct_match
P103,sep10_12,control,1,1,1,1,none,20.0,0.9696969696969697,19.200000000000003,96.0,32,29,32,29,220,1,33,0.030303030303030304,msd_target_prefix_v1,430.5,direct_match
P103,sep10_12,control,2,2,1,1,none,20.0,1.0,17.400000000000002,87.0,29,25,29,25,220,0,29,0.0,msd_target_prefix_v1,348.39999999990687,direct_match
P103,sep10_12,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,18.6,93.0,31,27,31,27,219,0,31,0.0,msd_target_prefix_v1,368.0,direct_match
P104,sep10_12,control,0,1,1,1,none,20.0,0.9846153846153847,38.400000000000006,192.0,65,55,64,55,220,1,64,0.015384615384615385,msd_target_prefix_v1,383.20000000018626,direct_match
P104,sep10_12,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,35.400000000000006,177.0,59,51,59,51,219,0,59,0.0,msd_target_prefix_v1,359.3999999994412,direct_match
P104,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.9803921568627451,30.0,150.0,51,43,50,43,220,1,51,0.0196078431372549,msd_target_prefix_v1,399.70000000018626,compatible_with_stripped_boundary_spaces
P104,sep10_12,control,3,2,1,1,none,20.0,0.962962962962963,31.8,159.0,54,47,53,46,219,2,54,0.037037037037037035,msd_target_prefix_v1,382.1000000005588,direct_match
P105,sep10_12,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.8333333333333334,15.0,75.0,30,25,25,20,220,5,30,0.16666666666666666,msd_target_prefix_v1,710.8999999994412,direct_match
P105,sep10_12,control,1,1,1,1,none,20.0,1.0,18.6,93.0,31,27,31,27,220,0,31,0.0,msd_target_prefix_v1,1310.9000000003725,direct_match
P105,sep10_12,control,2,2,1,1,none,20.0,1.0,19.200000000000003,96.0,32,27,32,27,220,0,32,0.0,msd_target_prefix_v1,838.0,compatible_with_stripped_boundary_spaces
P105,sep10_12,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,15.0,75.0,25,22,25,22,220,0,25,0.0,msd_target_prefix_v1,502.0,direct_match
P106,sep10_12,control,0,1,1,1,none,20.0,0.8857142857142857,19.8,99.0,35,30,33,29,220,4,35,0.11428571428571428,msd_target_prefix_v1,308.09999999962747,direct_match
P106,sep10_12,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9555555555555556,25.8,129.0,44,39,43,38,220,2,45,0.044444444444444446,msd_target_prefix_v1,309.79999999981374,direct_match
P106,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.9824561403508771,33.6,168.0,57,49,56,48,220,1,57,0.017543859649122806,msd_target_prefix_v1,531.7999999998137,direct_match
P106,sep10_12,control,3,2,1,1,none,20.0,0.984375,37.800000000000004,189.0,63,55,63,55,220,1,64,0.015625,msd_target_prefix_v1,359.59999999962747,direct_match
